head_entity	relation	tail_entity
epilepsy	manifestation_of	seizures
uterus	part_of	reproductive system
lymphocytes	part_of	immune system
covid-19	affects	patients
breast cancer	causes	cancer
insulin	measures	gluconeogenesis
insulin	measures	lipogenesis
insulin	measures	protein degradation
insulin	measures	amino acid degradation
asthma	part_of	respiratory system
copd	affects	chronic obstructive pulmonary disease
measles	affects	immune system
plasma	measured_in	blood
adolescents	affects	mental health
phenobarbital	ingredient_of	medication
clozapine	treats	schizophrenia
cancer	isa	disease
pacemaker	isa	medical device
hpv	causes	cervical cancer
haematuria	manifestation_of	renal disease
pigeons	ingredient_of	operant procedure
pigeons	measurement_of	discriminative stimulus effects
pigeons	part_of	operant procedure
cat	isa	mammal
cat	part_of	mammal
cat	ingredient_of	blood
laparoscopic cholecystectomy	ingredient_of	surgical instruments
rectal cancer	diagnoses	cancer
hippocampus	part_of	central nervous system
pulse oximetry	measures	oxygen saturation
mortality	causes	death
thyroid tumors	causes	radiation exposure
thyroid tumors	causes	viral infections
thyroid tumors	diagnoses	follicular neoplasm
thyroid tumors	diagnoses	papillary neoplasm
laponite	part_of	sheet resistance
laponite	part_of	enteral nutrition
liver	isa	organ
cataract	causes	age-related cataract
cataract	causes	mature cataract
cataract	causes	immature cataract
cataract	causes	capsular cataract
cataract	causes	subcapsular cataract
glaucoma	causes	increased intraocular pressure
glaucoma	part_of	ocular diseases
glaucoma	affects	optic nerve
glaucoma	measurement_of	intraocular pressure
glucose	causes	type 2 diabetes mellitus
glucose	interacts_with	insulin
glucose	causes	diabetic ketoacidosis
glucose	causes	hyperglycemia
glucose	causes	hypoglycemia
glucose	causes	diabetes mellitus
glucose	causes	insulin resistance
glucose	causes	metabolic syndrome
glucose	causes	cardiovascular disease
glucose	causes	diabetic retinopathy
glucose	causes	diabetic nephropathy
glucose	causes	diabetic neuropathy
glucose	causes	diabetic foot ulcer
prostate	affects	prostate cancer
lung	causes	lung cancer
coronary artery disease	causes	atherosclerosis
clostridium difficile	causes	diarrhea
liver	part_of	body
rat liver	part_of	body
obesity	affects	body mass index
lung	part_of	respiratory system
p53	diagnoses	cancer
west nile virus	causes	disease
thyroid gland	part_of	endocrine system
thyroglobulin	affects	thyroid function
thyroid epithelial cells	affects	thyroid function
thyroid gland	affects	endocrine system
thyroid function	affects	thyroid gland
hypertension	associated_with	cardiovascular disease
hypertension	diagnoses	cardiovascular disease
hypertension	part_of	cardiovascular system
hypertension	causes	cardiovascular disease
calcium	isa	ion
yeast	part_of	saccharomyces cerevisiae
inflammatory bowel disease	causes	inflammation
stroke	diagnoses	ischemic stroke
doxorubicin	diagnoses	cancer
tuberculosis	causes	disease
breast cancer	affects	patients
depression	affects	mental health
tat-59	causes	degradation
tat-59	diagnoses	breast cancer
alzheimer's disease	diagnoses	dementia
schizophrenia	diagnoses	psychiatric disorder
prostatectomy	treats	prostate cancer
erythrocyte	part_of	blood
sars-cov-2	diagnoses	covid-19
coagulation assay	affects	sensitivity
phentermine	treats	excess adiposity
ectopic pregnancy	causes	tubal pregnancy
peptides	isa	protein
adrenal gland	part_of	endocrine system
erythrocytes	part_of	blood
surgery	affects	mortality
acute bronchitis	diagnoses	disease
diazepam	treats	anxiety
dna	affects	gene expression
dna	part_of	genome
adrenalectomy	affects	hippocampal regions
adrenalectomy	affects	hippocampal function
adrenalectomy	affects	hippocampal volume
peptide	isa	protein
acute bronchitis	diagnoses	amoxicillin
sars-cov-2	causes	respiratory illness
sars-cov-2	causes	pneumonia
sars-cov-2	causes	acute respiratory distress syndrome
sars-cov-2	causes	severe acute respiratory syndrome
sars-cov-2	causes	acute respiratory distress
sars-cov-2	causes	acute respiratory failure
sars-cov-2	causes	acute respiratory insufficiency
sars-cov-2	causes	acute respiratory acidosis
sars-cov-2	causes	acute respiratory alkalosis
microglia	ingredient_of	central nervous system
dengue fever	ingredient_of	dengue virus
vibrio cholerae	causes	cholera
vibrio cholerae	diagnoses	cholera
apoptosis	causes	cell death
mitochondria	part_of	cell
apoptosis	manifestation_of	cell death
nitric oxide	causes	nitrospira
stroke	causes	death
stroke	diagnoses	cerebrovascular disease
stroke	causes	hypertension
stroke	causes	atherosclerosis
stroke	causes	diabetes mellitus
stroke	causes	smoking
stroke	causes	obesity
stroke	causes	drug abuse
stroke	causes	trauma
stroke	causes	gender
diabetes mellitus	causes	diabetes
epilepsy	causes	seizures
cataract	diagnoses	disease
breast cancer	causes	death
immunoglobulin	isa	protein
malignant mesothelioma	causes	poor prognosis
hiv infection	causes	aids
insulin	causes	diabetes
insulin	measured_by	blood glucose level
cancer	diagnoses	tumor
sars-cov-2	causes	respiratory disease
sars-cov-2	manifestation_of	pneumonia
sars-cov-2	ingredient_of	coronavirus
helicobacter pylori	causes	gastritis
coronarin d	causes	antimicrobial activity
lung cancer	affects	respiratory system
adiponectin	isa	protein
patient	affects	quality of life
trachea	part_of	respiratory system
t-cell prolymphocytic leukemia	causes	t-cell differentiation
carbonic anhydrase	isa	enzyme
cornea	affects	visual acuity
alzheimer's disease	affects	cognitive function
obesity	causes	genetic factors
cyclophosphamide	ingredient_of	chemotherapy
vaccine	treats	influenza
aldosterone	isa	hormone
kidney	part_of	body
coronary stenoses	affects	coronary blood flow
coronary stenoses	ingredient_of	atherosclerotic plaques
coronary stenoses	manifestation_of	angina pectoris
coronary stenoses	manifestation_of	myocardial infarction
p53	isa	tumor suppressor
alcohol	causes	alcoholism
alcohol	affects	liver
alcohol	diagnoses	alcohol use disorder
alcohol	ingredient_of	beer
alcohol	causes	traffic accidents
alcohol	associated_with	binge drinking
alcohol	measurement_of	blood alcohol concentration
cataract	measurement_of	visual acuity
cataract	manifestation_of	cloudy lens
pharmacokinetics	isa	biomedical text
schizophrenia	isa	psychiatric disorder
pharmacokinetics	isa	drug metabolism
myocardial infarction	affects	heart
platelet	isa	blood cell
obesity	isa	disease
c10	ingredient_of	monoclonal antibody
obturator hernia	measured_by	computed tomography
obturator hernia	ingredient_of	intestine
obturator hernia	interacts_with	muscles
obturator hernia	treats	intestinal obstruction
surgery	interacts_with	patient
antiepileptic drugs	treats	epilepsy
treatment	interacts_with	disease
osteoporosis	isa	disease
ara-c	affects	acute myeloblastic leukemia
pseudomonas aeruginosa	isa	bacteria
escherichia coli	isa	bacteria
hypertension	causes	essential hypertension
hypertension	diagnoses	essential hypertension
hypertension	part_of	cardiovascular disease
cataract	diagnoses	eye disease
insulin	manifestation_of	hyperglycemia
cancer	affects	patients
cancer	diagnoses	patients
leptin	isa	hormone
covid-19	causes	respiratory illness
covid-19	causes	mortality
covid-19	affects	mental health
alcohol	causes	liver cirrhosis
body mass index	measurement_of	obesity
pathophysiology	isa	disease
eeg	part_of	neuroimaging techniques
obesity	measured_by	body mass index
hypothalamus	part_of	central nervous system
amoxicillin	ingredient_of	antibiotic
microglia	ingredient_of	cns
copper	isa	metal
acupuncture	ingredient_of	needles
mallory bodies	affects	hepatocytes
mallory bodies	diagnoses	alcoholic hepatitis
mallory bodies	affects	mice
2-deoxy-d-glucose	ingredient_of	glycogen
2-deoxy-d-glucose	part_of	metabolic process
2-deoxy-d-glucose	diagnoses	metabolic disorders
2-deoxy-d-glucose	ingredient_of	metabolic process
2-deoxy-d-glucose	causes	metabolic disorders
2-deoxy-d-glucose	affects	metabolic disorders
hiv	interacts_with	immune system
disease	manifestation_of	cataract
Ubiquitin-like protein	treats	Influenza A virus
Influenza A virus	causes	virulence factor
Herc5	interacts_with	Ubiquitin-like protein
cancer	causes	pain
ros	causes	oxidative stress
dopamine	isa	neurotransmitter
vitamin d	isa	vitamin
hepatocellular carcinoma	affects	liver
chemotherapy	interacts_with	radiotherapy
breast	diagnoses	breast cancer
breast	affects	breast cancer
breast	causes	breast cancer
fibrinogen	ingredient_of	blood
covid-19	affects	respiratory system
hiv-1	isa	disease
hiv-1	ingredient_of	virus
heart	isa	organ
pseudomonas aeruginosa	causes	pneumonia
glioblastoma	affects	brain
glioblastoma	part_of	central nervous system
mrsa	causes	infections
mrsa	diagnoses	infections
sars-cov-2	causes	coronavirus disease 2019
testis	part_of	male reproductive system
angiotensin ii	causes	hypertension
angiotensin ii	diagnoses	hypertension
albumin	part_of	plasma
platelets	ingredient_of	blood
cardiovascular	isa	disease
mirna	affects	gene expression
small intestine	part_of	gastrointestinal tract
colon	part_of	gastrointestinal tract
copd	causes	smoking
copd	causes	chronic obstructive pulmonary disease
migraine	causes	headache
pregnancy	diagnoses	gestational diabetes
insulin	diagnoses	insulin resistance
hypertriglyceridemia	causes	dyslipidemia
hypertriglyceridemia	affects	lipid metabolism
hypertriglyceridemia	diagnoses	hyperlipidemia
hypertriglyceridemia	affects	massive hepatomegaly
obesity	causes	metabolic disorder
sepsis	diagnoses	septic shock
asthma	ingredient_of	inhaled corticosteroids
coronary heart disease	isa	disease
breast cancer	causes	radiation therapy
breast	ingredient_of	mammary gland
amoxicillin	diagnoses	acute bronchitis
cataract	part_of	eye
amoxicillin	part_of	antibiotic therapy
bmi	measures	body mass index
cerebellum	part_of	brain
striatum	part_of	brain
cortex	part_of	brain
colorectal cancer	diagnoses	cancer
hcc	affects	liver
rubisco	diagnoses	photosynthetic rate
rubisco	ingredient_of	plants
rubisco	measurement_of	photosynthetic rate
rubisco	part_of	plants
rubisco	treats	photosynthetic rate
arsenic	causes	skin lesions
arsenic	causes	diabetes
arsenic	causes	cardiovascular disease
arsenic	causes	neurological effects
arsenic	causes	reproductive effects
arsenic	causes	lung cancer
arsenic	causes	bladder cancer
arsenic	causes	kidney cancer
arsenic	causes	liver cancer
arsenic	causes	lung disease
arsenic	causes	bladder disease
arsenic	causes	kidney disease
arsenic	causes	liver disease
acute renal failure	causes	ischemic damage
acute renal failure	causes	acute circulatory failure
acute renal failure	causes	renal damage
asthma	isa	respiratory disease
cataract	affects	vision
disease	diagnoses	medical condition
disease	measured_by	symptoms
leprosy	isa	disease
hypertension	affects	blood pressure
legionnaires' disease	manifestation_of	respiratory illness
legionella pneumophila serogroup 1	causes	pneumonia
flushing	affects	water quality
waterborne disease	diagnoses	public health issue
lys1	affects	growth
lys1	affects	amino acid biosynthesis
lys1	affects	lysine biosynthesis
lys1	affects	lysine metabolism
lys1	affects	protein synthesis
lys1	affects	saccharomyces cerevisiae
dog	isa	mammal
pregnancy	part_of	reproductive system
food	causes	obesity
food	diagnoses	malnutrition
bariatric surgery	treats	obesity
heart	affects	cardiovascular system
cancer	diagnoses	malignant tumor
breast cancer	causes	tumor
hepatic fibrosis	treats	chronic liver disease
hepatic fibrosis	affects	liver fibrosis
glutathione	causes	oxidative stress
glutathione	affects	redox homeostasis
glutathione	associated_with	xenobiotic detoxification
liver	affects	liver function
benign lymphoepithelial lesion	causes	reticulum cell sarcoma
prostate cancer surgery	causes	cancer prediction
keratinocytes	part_of	skin
squamous cell carcinoma	causes	skin cancer
p53	isa	tumor suppressor gene
pain	affects	patients
identification	isa	biomedical text
uveitis	affects	eye
renal colic	treats	antispasmodics
renal colic	treats	diuretics
renal colic	treats	opioid analgesics
side effects	affects	patients
spleen	part_of	lymphatic system
hypertension	causes	high blood pressure
sodium	diagnoses	hypertension
sodium	associated_with	cardiovascular disease
sodium	ingredient_of	food additives
sodium	causes	cardiovascular disease
sodium	affects	cardiovascular health
sodium	manifestation_of	cardiovascular disease
sodium	part_of	dietary habits
sodium	associated_with	heart disease
sodium	ingredient_of	fast foods
sodium	causes	heart disease
autophagy	interacts_with	phosphatidylethanolamine
autophagy	interacts_with	atg7
autophagy	interacts_with	atg3
adhd	causes	attention deficit hyperactivity disorder
adhd	affects	serotonin biosynthesis
adhd	affects	14-3-3 proteins
adhd	affects	tyrosine hydroxylase
adhd	affects	tryptophan hydroxylase
adhd	affects	tph1
adhd	affects	tph2
adhd	affects	ywhae
mycobacterium tuberculosis	causes	tuberculosis
stroke	causes	ischemic stroke
ethanol	ingredient_of	alcoholic beverages
ethanol	causes	alcoholism
ethanol	measurement_of	blood alcohol concentration
disease	causes	cataract
disease	diagnoses	cataract
drug	treats	disease
fsh	associated_with	ovarian dysfunction
fsh	associated_with	gene expression
fsh	associated_with	ovarian function
fsh	associated_with	ovarian development
fracture	causes	trauma
fractures	causes	trauma
lipopolysaccharide	causes	inflammation
multiple myeloma	affects	bone marrow
arsenic	diagnoses	skin lesions
rotavirus	ingredient_of	gastroenteritis
rotavirus	part_of	gastroenteritis
diabetes	causes	high blood sugar
bronchoscope	interacts_with	chest computed tomography
bronchoscope	interacts_with	lung
bronchoscope	interacts_with	pneumonia
bronchoscope	interacts_with	antimicrobial therapy
bronchoscope	interacts_with	right lung
lymphocyte	isa	cell
cholesterol	isa	lipid
hiv	causes	acquired immune deficiency syndrome
hiv	affects	immune system
hiv	diagnoses	acquired immune deficiency syndrome
hiv	causes	immunodeficiency
hiv	associated_with	human immunodeficiency virus
hiv	measurement_of	viral load
hiv	manifestation_of	opportunistic infections
heart	diagnoses	cardiovascular disease
heart	causes	cardiovascular disease
heart	part_of	cardiovascular system
heart	manifestation_of	chest pain
green tea extract	treats	lipid oxidation
green tea extract	treats	lipid peroxidation
green tea extract	treats	lipid metabolism disorder
dna	interacts_with	protein
cryptococcus neoformans	causes	cryptococcosis
covid-19	isa	disease
heart	causes	heart failure
heart	diagnoses	heart failure
actinobacillus actinomycetemcomitans	associated_with	periodontal disease
listeria monocytogenes	causes	food poisoning
expression	measures	gene expression
alcohol	causes	liver disease
liver	part_of	organ
amoxicillin	ingredient_of	antibiotics
acute bronchitis	diagnoses	respiratory disease
pet	measures	fluorine-18-fluorodeoxyglucose
stomach	part_of	digestive system
dic	causes	apoptosis
hiv	causes	human immunodeficiency virus
hiv	associated_with	acquired immune deficiency syndrome
hiv	manifestation_of	immune dysfunction
hiv	part_of	human immunodeficiency virus
hcv	affects	liver
hcv	measurement_of	viral load
cancer	causes	death
suicide	causes	death
homicide	causes	death
bisphosphonates	isa	drug
saccharomyces cerevisiae	part_of	yeast
interferon-gamma	isa	cytokine
obesity	causes	overeating
nifedipine	treats	hypertension
pregnancy	causes	preterm birth
radiation	causes	cancer
glioma	affects	brain
vaccination	treats	influenza
ginger	ingredient_of	ginger extract
ginger	ingredient_of	ginger oil
ginger	ingredient_of	ginger ale
hippocampus	isa	brain structure
autophagy	causes	cell death
red blood cells	ingredient_of	blood
pulmonary tuberculosis	causes	respiratory disease
rabies	affects	central nervous system
membrane	interacts_with	phospholipid membranes
psoriasis	isa	skin disease
rabbit	isa	mammal
rmrp	affects	genetic testing
rmrp	causes	skeletal dysplasia
rmrp	affects	genetic counseling
thalamus	part_of	brain
aorta	part_of	cardiovascular system
disease	isa	cataract
serotonin	affects	Cardiovascular system
serotonin	part_of	Cardiovascular system
serotonin	interacts_with	Cardiovascular system
serotonin	ingredient_of	Cardiovascular system
serotonin	associated_with	Cardiovascular system
serotonin	treats	Cardiovascular system
hepatitis c	causes	liver disease
hand burns	affects	hand function
hand burns	diagnoses	hand function
hand burns	ingredient_of	heat
hand burns	affects	quality of life
rat atria	competitive antagonism	acetylcholine
rat atria	competitive antagonism	phenoxybenzamine
disease	diagnoses	acute bronchitis
rheumatoid arthritis	affects	joint
acute bronchitis	affects	respiratory system
dendritic cells	part_of	immune system
colon cancer	causes	cancer
smoking	causes	lung cancer
smoking	ingredient_of	cigarette
insulin	causes	hyperglycemia
nicotine	diagnoses	nicotine addiction
nicotine	ingredient_of	tobacco products
nicotine	associated_with	smoking
nicotine	part_of	tobacco smoke
nicotine	diagnoses	nicotine dependence
tumor	causes	cancer
lung	affects	respiratory system
acute bronchitis	treats	disease
hpv	diagnoses	cervical cancer
hpv	ingredient_of	hpv vaccine
mrsa	causes	infection
adipocytes	part_of	adipose tissue
allele	isa	gene
sciatic nerve	diagnoses	nerve injury
p53	isa	tumor suppressor protein
clopidogrel	interacts_with	platelets
malaria	manifestation_of	fever
arteriosclerosis	causes	atherosclerosis
endotoxin	diagnoses	sepsis
horse meat	measurement_of	iron
horse meat	measurement_of	vitamin b
horse meat	ingredient_of	meat
horse meat	ingredient_of	foal meat
asbestos	causes	asbestosis
asbestos	manifestation_of	lung cancer
radiotherapy	treats	cancer
thelohanellus	diagnoses	arterial hypertension
thelohanellus	measurement_of	arterial hypertension
thelohanellus	manifestation_of	arterial hypertension
thelohanellus	associated_with	arterial hypertension
obesity	causes	cardiovascular disease
ovary	part_of	reproductive system
growth hormone	isa	hormone
cancer	causes	tumor
pulmonary arterial hypertension	diagnoses	pulmonary hypertension
diagnosis	affects	patient
alpha-fetoprotein	isa	protein
serum	ingredient_of	blood
spermatozoa	affects	fertility
pathogenesis	isa	disease
myocardial function	causes	cardiac arrhythmias
myocardial function	causes	cardiac hypertrophy
myocardial function	causes	heart failure
myocardial function	causes	ventricular fibrillation
cancer	diagnoses	patient
methicillin-resistant staphylococcus aureus	causes	infections
virus	causes	disease
sars-cov-2	causes	disease
gout	causes	hyperuricemia
particle	part_of	pumice
cerebral cortex	part_of	rat brain
depression	diagnoses	major depressive disorder
major depressive disorder	diagnoses	depression
rbcs	ingredient_of	blood
amd	causes	vision loss
polychlorinated biphenyls	causes	cancer
herpesvirus	isa	virus
inflammation	causes	atherosclerosis
acute bronchitis	causes	amoxicillin
lobectomy	causes	lung cancer
lipase	isa	enzyme
estrogen	ingredient_of	hormone replacement therapy
malaria	causes	fever
hiv-1	causes	aids
hiv-1	causes	hiv infection
hiv-1	causes	opportunistic infections
hiv-1	causes	neurological disorders
hiv-1	causes	cancer
hiv-1	causes	cardiovascular disease
hiv-1	causes	pulmonary hypertension
hiv-1	causes	kidney disease
hiv-1	causes	cachexia
hiv-1	causes	wasting syndrome
hiv-1	causes	acquired immunodeficiency syndrome
platelet	diagnoses	irreversible aggregation
heart failure	affects	cardiac function
platelet	ingredient_of	blood
insulin	treats	diabetes
alzheimer's disease	diagnoses	neurodegenerative disorder
soleus	part_of	muscle
soleus muscle	ingredient_of	muscle
penicillin	isa	antibiotic
amoxicillin	interacts_with	penicillin
pregnancy	affects	fetal development
transcatheter aortic valve implantation	ingredient_of	cardiovascular system
transcatheter aortic valve implantation	part_of	cardiovascular system
transcatheter aortic valve implantation	interacts_with	cardiovascular system
transcatheter aortic valve implantation	treats	cardiovascular disease
transcatheter aortic valve implantation	affects	cardiovascular function
transcatheter aortic valve implantation	diagnoses	cardiovascular disorders
egfr	isa	receptor
prostate	diagnoses	prostate cancer
prostate	part_of	male reproductive system
doxorubicin	causes	cardiotoxicity
halitosis	diagnoses	oral malodor
halitosis	causes	systemic diseases
halitosis	treats	oral hygiene education
acute gout	treats	inflammation
egfr	interacts_with	epidermal growth factor
tamoxifen	treats	breast cancer
monocytes	part_of	immune system
sex	isa	gender
testosterone	isa	hormone
cancer-associated fibroblasts	affects	tumor stemness
cancer-associated fibroblasts	affects	tumor metastasis
cancer-associated fibroblasts	affects	tumor recurrence
spt	measures	food challenge
ige	measures	food challenge
drug	affects	pharmacokinetics
finasteride	ingredient_of	medication
smoking	affects	lung cancer
smoking	diagnoses	chronic obstructive pulmonary disease
smoking	manifestation_of	chronic bronchitis
smoking	part_of	tobacco use
trabeculectomy	causes	glaucoma
dmd	part_of	muscular dystrophy
dmd	causes	respiratory failure
dmd	causes	cardiac muscle dysfunction
dmd	causes	renal failure
dmd	causes	gastrointestinal dysfunction
dmd	causes	scoliosis
dmd	causes	hypotension
dmd	causes	constipation
dmd	causes	fatigue
dmd	causes	insomnia
dmd	causes	depression
dmd	causes	anxiety
dmd	causes	asthma
dmd	causes	eczema
dmd	causes	hair loss
dmd	causes	hearing loss
dmd	causes	vision loss
dmd	causes	dilated cardiomyopathy
dmd	causes	end-stage renal disease
dmd	causes	pulmonary hypertension
dmd	causes	coronary artery disease
dmd	causes	atrial fibrillation
glomerular filtration rate	measurement_of	renal function
male	isa	gender
calmodulin	interacts_with	calcium
breast cancer	diagnoses	cancer
peroxisome	isa	organelle
hypertension	treats	antihypertensive drugs
hypertension	affects	cardiovascular system
hypertension	causes	renal disease
hypertension	causes	atherosclerosis
hypertension	causes	obesity
hypertension	causes	diabetes
hypertension	causes	smoking
hypertension	causes	salt sensitivity
hypertension	causes	gender
hypertension	causes	alcohol consumption
hypertension	causes	sleep apnea
hypertension	causes	diet
hypertension	causes	alcohol
case register	diagnoses	paranoid disorders
case register	diagnoses	acute paranoid reaction
case register	diagnoses	borderline schizophrenia
case register	diagnoses	acute bronchitis
case register	diagnoses	psychiatric disorder
pancreas	causes	pancreatic cancer
chlamydia trachomatis	affects	ectopic pregnancy
chlamydia trachomatis	causes	tubal factor infertility
chlamydia trachomatis	affects	infertility
metabolism	isa	biochemical process
dna	diagnoses	genetic disorders
dna	causes	cancer
dna	manifestation_of	genetic traits
starch	affects	amylose content
staphylococcus aureus	causes	infection
prostate cancer	causes	cancer
asbestos	causes	lung cancer
lrrk2	causes	parkinson's disease
cat	isa	disease
p53	isa	gene
acute bronchitis	diagnoses	respiratory tract infection
helicobacter pylori	isa	bacteria
alcohol	part_of	alcoholic beverages
auditory	affects	auditory response
cancer	part_of	body
dementia	affects	cognitive function
stroke	causes	adult disability
colorectal cancer	causes	cancer
chlorpyrifos	ingredient_of	pesticide
thymus	part_of	immune system
eccrine acrospiroma	causes	tumor
eccrine acrospiroma	causes	adnexal tumor
cancer	ingredient_of	chemotherapy
histone h2ax	affects	retinoblastoma cells
acute bronchitis	diagnoses	respiratory infection
phospholamban	measurement_of	inhibitory function
amoxicillin	diagnoses	bacterial infection
hysterectomy	ingredient_of	surgical procedure
hysterectomy	part_of	oncological treatment
hysterectomy	manifestation_of	infertility
hysterectomy	associated_with	menopause
hysterectomy	causes	postoperative complications
hysterectomy	affects	quality of life
aichi virus	interacts_with	type i interferon
aichi virus	affects	inflammatory cytokines
amoxicillin	affects	bacterial growth
rickettsia felis	interacts_with	gram-negative bacterium
iron	part_of	hemoglobin
linseed	affects	methane emission
linseed	affects	animal health
sleep	diagnoses	sleep disorders
glucocorticoid	isa	steroid
chemotherapy	diagnoses	cancer
chemotherapy	treats	cancer
benign prostatic hyperplasia	causes	lower urinary tract symptoms
obesity	ingredient_of	unhealthy diet
mscs	causes	heart injury
mscs	measurement_of	isolation procedure
mscs	ingredient_of	cells
cryptosporidium	causes	diarrhea
morphine	causes	analgesia
morphine	diagnoses	opioid use disorder
renal	affects	renal function
alcoholics	diagnoses	alcoholism
alcoholics	ingredient_of	alcoholic beverages
alcoholics	measurement_of	alcohol consumption
alcoholics	causes	alcohol abuse
serum	part_of	blood
ethanol	diagnoses	alcoholism
dengue	causes	dengue fever
glioblastoma multiforme	causes	death
glioblastoma multiforme	associated_with	poor prognosis
glioblastoma multiforme	manifestation_of	aggressive behavior
glioblastoma multiforme	part_of	primary brain tumors
glioblastoma multiforme	treats	conventional therapy
glioblastoma multiforme	causes	cytogenetic abnormalities
pancreas	part_of	endocrine system
pancreas	ingredient_of	pancreatic juice
disseminated lupus erythematosus	affects	skin
disseminated lupus erythematosus	causes	autoimmune disorder
disseminated lupus erythematosus	affects	joint
disseminated lupus erythematosus	causes	immune system disorder
disseminated lupus erythematosus	affects	kidney
disseminated lupus erythematosus	causes	inflammatory disorder
angiotensin ii	part_of	cardiovascular system
hemoglobin	diagnoses	anemia
colorectal cancer	part_of	gastrointestinal tract
astrocytes	interacts_with	neurons
bevacizumab	causes	hypertension
bevacizumab	causes	proteinuria
bevacizumab	causes	hemorrhage
bevacizumab	causes	retinal vein occlusion
bevacizumab	causes	nephrotic syndrome
bevacizumab	causes	gastrointestinal perforation
human herpesvirus 8	causes	kaposi's sarcoma
plasmodium falciparum	causes	malaria
goat	isa	mammal
staphylococcus aureus	isa	bacteria
cystic fibrosis	part_of	respiratory system
covid-19	diagnoses	coronavirus disease 2019
amoxicillin	treats	acute otitis media
als	affects	motor neurons
tuberculosis	causes	respiratory disease
covid-19	causes	respiratory disease
prostate	manifestation_of	prostate enlargement
hbsag	affects	liver
shunt	diagnoses	acute pulmonary failure
shunt	causes	acute pulmonary failure
tuberculosis	isa	disease
human respiratory syncytial virus	causes	bronchiolitis
human respiratory syncytial virus	causes	pneumonia
human respiratory syncytial virus	causes	acute respiratory distress syndrome
human respiratory syncytial virus	causes	bronchiolitis obliterans
magnets	affects	intestine
magnets	manifestation_of	papilloedema
pediatrics	isa	medicine
morphine	causes	addiction
morphine	affects	mek inhibitor
morphine	affects	locomotion
helicobacter pylori	causes	gastric ulcer
lymphocyte	part_of	immune system
covid-19	causes	disease
cholesterol	causes	atherosclerosis
aorta	affects	blood flow
sars-cov-2	treats	covid-19
sars-cov-2	manifestation_of	respiratory illness
aml	causes	acute myeloid leukemia
aml	diagnoses	acute myeloid leukemia
aml	manifestation_of	acute myeloid leukemia
aml	part_of	blood
hippocampus	part_of	brain
amygdala	part_of	brain
melanoma	causes	skin cancer
insulin	diagnoses	diabetes mellitus
fever	causes	infection
arsenic	ingredient_of	drinking water
pancreas	part_of	body
nlrp3	isa	inflammasome
